"B01002_001E","B01002_001M","B01002_002E","B01002_002M","B01002_003E","B01002_003M","GEO_ID","NAME"
"Estimate!!Median age!!Total","Margin of Error!!Median age!!Total","Estimate!!Median age!!Male","Margin of Error!!Median age!!Male","Estimate!!Median age!!Female","Margin of Error!!Median age!!Female","id","Geographic Area Name"
"58.7","5.9","58.5","6.2","60.3","8.2","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"53.5","7.3","51.0","8.0","56.6","8.5","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"37.4","3.6","39.3","3.5","35.8","4.3","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"38.4","15.0","35.0","14.7","44.9","13.4","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"48.1","4.8","45.6","4.0","52.2","6.9","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"37.5","1.6","36.9","1.3","54.3","28.2","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"41.3","7.4","35.6","8.7","46.7","14.9","1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland"
"46.0","16.6","33.5","26.5","51.0","6.1","1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland"
"55.4","11.4","52.6","15.3","56.8","13.7","1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland"
"45.9","16.4","36.5","33.4","46.4","10.0","1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland"
"41.3","5.8","30.6","11.5","45.0","4.8","1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland"
"37.7","9.6","43.1","18.6","37.3","8.5","1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland"
"32.3","16.9","29.8","13.9","42.1","13.3","1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland"
"48.5","3.4","52.2","10.9","42.1","42.4","1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland"
"47.8","4.5","44.3","7.7","52.1","3.6","1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland"
"40.4","7.9","41.0","12.9","37.1","11.1","1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland"
"49.5","6.8","46.3","21.9","54.3","8.9","1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland"
"39.6","7.2","37.2","14.2","41.8","8.0","1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland"
"41.6","6.1","44.1","9.9","41.2","5.9","1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland"
"31.0","4.3","30.3","7.4","36.6","4.2","1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland"
"41.6","4.8","41.3","3.4","47.1","11.7","1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland"
"52.7","14.6","52.2","15.2","54.7","25.3","1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland"
"42.1","7.5","37.9","11.1","43.4","5.5","1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland"
"51.5","5.5","51.9","5.6","50.6","9.8","1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland"
"30.2","5.5","26.2","3.0","32.9","7.0","1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland"
"52.9","7.2","56.8","6.1","50.2","6.6","1500000US240010012003","Block Group 3, Census Tract 12, Allegany County, Maryland"
"41.5","5.0","39.9","5.2","41.7","10.5","1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland"
"39.4","1.9","39.2","1.8","43.8","5.3","1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland"
"43.7","6.6","46.1","6.4","43.2","9.8","1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland"
"49.7","6.4","49.6","5.2","52.3","12.4","1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland"
"46.7","9.8","42.3","14.7","52.5","10.9","1500000US240010014013","Block Group 3, Census Tract 14.01, Allegany County, Maryland"
"44.9","7.3","41.8","6.3","47.8","8.8","1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland"
"46.1","7.0","45.4","9.3","46.4","6.5","1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland"
"56.7","12.6","52.8","10.8","59.0","17.0","1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland"
"38.4","6.6","34.7","9.6","40.3","6.9","1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland"
"36.4","6.4","33.7","10.1","40.0","8.7","1500000US240010015033","Block Group 3, Census Tract 15.03, Allegany County, Maryland"
"45.4","4.4","44.3","2.9","48.9","8.0","1500000US240010016001","Block Group 1, Census Tract 16, Allegany County, Maryland"
