"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)","Annotation of Estimate!!Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)","Annotation of Margin of Error!!Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)",
"1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland","23056","null","4692","null",
"1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland","23684","null","4911","null",
"1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland","25965","null","4360","null",
"1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland","34310","null","13821","null",
"1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland","27540","null","4438","null",
"1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland","11582","null","2323","null",
"1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland","24711","null","5105","null",
"1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland","25029","null","7516","null",
"1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland","22180","null","6177","null",
"1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland","37998","null","9087","null",
"1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland","26084","null","3776","null",
"1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland","19754","null","5877","null",
"1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland","14830","null","2195","null",
"1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland","22088","null","5758","null",
"1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland","20551","null","2999","null",
"1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland","18948","null","3927","null",
"1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland","18603","null","3152","null",
"1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland","11967","null","2356","null",
"1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland","19683","null","4194","null",
"1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland","10952","null","2358","null",
"1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland","18905","null","3707","null",
"1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland","15464","null","2879","null",
"1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland","28962","null","5868","null",
"1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland","37308","null","7844","null",
"1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland","24129","null","6305","null",
"1500000US240010012003","Block Group 3, Census Tract 12, Allegany County, Maryland","40608","null","10857","null",
"1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland","27465","null","3522","null",
"1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland","5452","null","695","null",
"1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland","47564","null","10741","null",
"1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland","44335","null","9812","null",
"1500000US240010014013","Block Group 3, Census Tract 14.01, Allegany County, Maryland","37339","null","10738","null",
"1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland","26824","null","3681","null",
"1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland","23734","null","3302","null",
"1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland","23140","null","3800","null",
"1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland","20847","null","2870","null",
"1500000US240010015033","Block Group 3, Census Tract 15.03, Allegany County, Maryland","23337","null","3614","null",
"1500000US240010016001","Block Group 1, Census Tract 16, Allegany County, Maryland","29597","null","2896","null",
"1500000US240010017001","Block Group 1, Census Tract 17, Allegany County, Maryland","35019","null","9171","null",
"1500000US240010017002","Block Group 2, Census Tract 17, Allegany County, Maryland","20834","null","6888","null",
"1500000US240010017003","Block Group 3, Census Tract 17, Allegany County, Maryland","30155","null","4324","null",
"1500000US240010017004","Block Group 4, Census Tract 17, Allegany County, Maryland","15604","null","2592","null",
"1500000US240010018001","Block Group 1, Census Tract 18, Allegany County, Maryland","20216","null","4207","null",
"1500000US240010018002","Block Group 2, Census Tract 18, Allegany County, Maryland","26930","null","7041","null",
"1500000US240010018003","Block Group 3, Census Tract 18, Allegany County, Maryland","7619","null","2054","null",
