"B20017_001E","B20017_001M","B20017_002E","B20017_002M","B20017_003E","B20017_003M","B20017_004E","B20017_004M","B20017_005E","B20017_005M","B20017_006E","B20017_006M","B20017_007E","B20017_007M","GEO_ID","NAME"
"Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)","id","Geographic Area Name"
"22500","14154","53250","35096","72813","31793","15341","9739","15732","2493","-","**","-","**","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"24776","5452","36429","17825","50975","5678","15208","8941","22788","9304","26071","10258","10833","1845","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"37656","10238","41727","3063","44750","7171","39063","20712","29491","5676","35972","19945","-","**","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"31293","15979","40139","18842","45950","19665","31094","12137","-","**","42708","14727","10888","860","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"23162","10532","37946","19741","43722","9519","-","**","22060","3375","28973","23187","8333","5170","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"15645","3821","15391","4106","20663","3115","-","**","27639","21207","-","**","-","**","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"39107","6130","43717","7885","44397","11271","-","**","32143","11683","43929","17000","12155","4235","1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland"
"26307","10543","-","**","41500","26527","-","**","27386","25548","44583","41755","-","**","1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland"
"29545","28174","48636","30955","52132","16349","14213","9632","25962","18039","47750","41411","-","**","1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland"
"37778","17992","50417","32627","64519","23709","-","**","32375","21355","32375","15676","-","**","1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland"
"33784","2601","51300","19338","53512","3111","15625","3618","26591","10252","34567","9932","23348","15999","1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland"
"31113","2602","31217","895","31433","751","-","**","30000","22338","41991","3117","8875","2885","1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland"
"22754","5512","19538","8338","24286","15745","17578","15114","23973","11904","61250","50460","21681","9882","1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland"
"5437","1608","5449","2518","63194","6783","4318","2294","5426","1836","-","**","5142","1687","1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland"
"33611","8787","33917","17676","44511","12626","9148","5646","33229","17435","53625","21066","-","**","1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland"
"29761","3247","38542","9351","47019","39605","-","**","29063","1414","29743","3258","-","**","1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland"
"21629","5600","31550","9821","42969","15173","8911","2363","20313","7394","27031","8561","2,500-","***","1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland"
"25306","3651","26367","6888","31172","15884","2,500-","***","23631","6902","35288","5743","-","**","1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland"
"30848","4750","38005","2937","39043","2449","-","**","25515","13555","33889","4714","7045","6658","1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland"
"18472","4185","25287","6391","26496","6144","11406","4362","17530","12605","19787","18144","8370","5994","1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland"
"27560","6420","27321","11093","37824","9523","14276","4749","27738","6012","48006","26008","17846","3537","1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland"
"16318","4701","27596","16547","27188","7379","-","**","15568","2939","-","**","13194","9543","1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland"
"22200","9498","20365","15165","41607","18825","11370","2142","24313","11052","40662","6380","-","**","1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland"
"40481","17048","47404","9780","62857","17363","11391","3192","27396","11666","60321","26244","14375","14093","1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland"
"31417","2317","35573","8392","39250","24585","13750","11709","30605","5429","32037","13112","-","**","1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland"
"56563","27691","76875","19348","112708","78795","70729","20294","30735","20676","-","**","-","**","1500000US240010012003","Block Group 3, Census Tract 12, Allegany County, Maryland"
"30430","7614","40142","4999","43191","2679","-","**","18000","3062","26688","9907","7888","2270","1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland"
"31250","7616","33641","10201","47500","4910","8542","5980","26307","5516","50139","26574","12500","4992","1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland"
"59028","12359","62308","8101","60962","12219","-","**","42411","24001","74091","33274","2,500-","***","1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland"
"42292","5829","46932","23661","59886","19263","18293","3796","33371","8801","47917","17141","12500","7231","1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland"
"42527","10741","31750","31690","54688","16368","9375","1121","43005","4575","43989","3951","-","**","1500000US240010014013","Block Group 3, Census Tract 14.01, Allegany County, Maryland"
"37262","6650","46833","7434","53523","1767","-","**","32794","3558","37604","10703","-","**","1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland"
"25484","5592","21202","10908","41172","4334","14327","4751","27057","2883","32333","17741","16488","8107","1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland"
"26696","6781","31771","14878","41250","18512","12250","8644","22396","10287","32411","28685","-","**","1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland"
"28264","8733","30463","12641","38625","21539","-","**","27569","10171","31490","15096","17125","9312","1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland"
"27000","7032","32333","6197","39375","10100","14219","11939","16053","4919","33036","19235","11083","4893","1500000US240010015033","Block Group 3, Census Tract 15.03, Allegany County, Maryland"
"29375","6173","35855","1877","42500","8127","7375","3291","23571","12083","45139","12475","10625","5410","1500000US240010016001","Block Group 1, Census Tract 16, Allegany County, Maryland"
"44226","27436","-","**","-","**","-","**","-","**","-","**","-","**","1500000US240010017001","Block Group 1, Census Tract 17, Allegany County, Maryland"
"27713","4958","43313","29321","45208","8100","-","**","26844","2986","-","**","17250","16121","1500000US240010017002","Block Group 2, Census Tract 17, Allegany County, Maryland"
"40417","14573","46667","18630","59152","15990","-","**","28895","9193","37500","18380","11439","4091","1500000US240010017003","Block Group 3, Census Tract 17, Allegany County, Maryland"
"12264","9638","36893","9947","36643","21849","-","**","10342","1837","29484","10539","8976","1673","1500000US240010017004","Block Group 4, Census Tract 17, Allegany County, Maryland"
"13472","3003","13813","3871","45250","3750","7045","5350","12543","5209","43438","9250","6442","2539","1500000US240010018001","Block Group 1, Census Tract 18, Allegany County, Maryland"
"25238","9651","-","**","-","**","5988","1270","26190","7681","40179","29371","14750","13689","1500000US240010018002","Block Group 2, Census Tract 18, Allegany County, Maryland"
"4060","863","4690","2760","36250","17785","2699","1264","3727","708","-","**","3645","718","1500000US240010018003","Block Group 3, Census Tract 18, Allegany County, Maryland"
"32482","9326","41250","12469","57375","12753","9375","8095","29875","7868","45729","8843","10508","3394","1500000US240010019001","Block Group 1, Census Tract 19, Allegany County, Maryland"
"30284","7342","39375","15489","53409","10960","10050","1468","19750","4484","31146","5358","11643","5855","1500000US240010019002","Block Group 2, Census Tract 19, Allegany County, Maryland"
"26346","12668","41174","21238","51830","26756","18492","8426","-","**","25673","22700","6597","5591","1500000US240010020001","Block Group 1, Census Tract 20, Allegany County, Maryland"
"30250","12878","42546","13203","44815","23962","10781","1565","26724","7270","37907","24499","-","**","1500000US240010020002","Block Group 2, Census Tract 20, Allegany County, Maryland"
"21006","4210","-","**","60652","13972","2,500-","***","19798","17421","67583","59961","16711","10461","1500000US240010020003","Block Group 3, Census Tract 20, Allegany County, Maryland"
"32043","4640","34844","8223","43933","2108","8945","1791","29896","6459","39583","5533","14615","5298","1500000US240010021001","Block Group 1, Census Tract 21, Allegany County, Maryland"
"26549","3532","42542","11279","52917","9948","20833","10353","23500","8065","39375","16441","16250","13914","1500000US240010021002","Block Group 2, Census Tract 21, Allegany County, Maryland"
"28611","5536","31648","18129","43690","20696","-","**","20458","16123","35114","10871","6630","4267","1500000US240010022001","Block Group 1, Census Tract 22, Allegany County, Maryland"
"22552","9571","31012","12176","43542","3633","-","**","14125","6749","27130","19322","9375","6507","1500000US240010022002","Block Group 2, Census Tract 22, Allegany County, Maryland"
"31923","13781","46429","16057","51250","5296","-","**","26833","4864","32500","20278","-","**","1500000US240010022003","Block Group 3, Census Tract 22, Allegany County, Maryland"
"60337","19287","91000","55109","99821","47916","2,500-","***","42440","26555","69286","63651","-","**","1500000US240037011011","Block Group 1, Census Tract 7011.01, Anne Arundel County, Maryland"
"63421","47860","70250","48860","74079","8357","-","**","-","**","78500","21937","26725","3691","1500000US240037011012","Block Group 2, Census Tract 7011.01, Anne Arundel County, Maryland"
"39063","19401","43977","19866","79688","39966","23750","10196","32000","22664","63269","17816","20208","9799","1500000US240037011013","Block Group 3, Census Tract 7011.01, Anne Arundel County, Maryland"
"90663","21286","96063","13822","107083","31610","-","**","55313","33149","103977","14688","-","**","1500000US240037011014","Block Group 4, Census Tract 7011.01, Anne Arundel County, Maryland"
"50343","11595","59276","26905","83245","12996","10313","7862","42604","15050","52127","31362","9706","3532","1500000US240037011021","Block Group 1, Census Tract 7011.02, Anne Arundel County, Maryland"
"50125","39250","63917","36231","63917","36231","-","**","22143","13003","53542","29229","14960","12456","1500000US240037011022","Block Group 2, Census Tract 7011.02, Anne Arundel County, Maryland"
"37486","12744","51184","17979","53750","28404","-","**","31929","7218","42721","30629","13487","7760","1500000US240037011023","Block Group 3, Census Tract 7011.02, Anne Arundel County, Maryland"
"47955","8466","49440","12875","65572","10393","-","**","44766","14876","53790","5756","20536","7782","1500000US240037011024","Block Group 4, Census Tract 7011.02, Anne Arundel County, Maryland"
