"B25077_001E","B25077_001M","GEO_ID","NAME"
"Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","id","Geographic Area Name"
"205000","41966","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"159900","11819","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"100200","16988","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"151600","34333","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"158200","22945","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"124200","35564","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"93000","7989","1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland"
"96800","12637","1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland"
"153300","42493","1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland"
"159800","26431","1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland"
"117300","34495","1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland"
"76800","12237","1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland"
"74400","5476","1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland"
"-","**","1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland"
"116600","14008","1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland"
"72900","16924","1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland"
"90800","11200","1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland"
"68700","6888","1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland"
"68200","23115","1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland"
"60500","11703","1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland"
"73100","6231","1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland"
"57400","11706","1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland"
"146400","54464","1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland"
"213800","27960","1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland"
"131000","50124","1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland"
"216900","26260","1500000US240010012003","Block Group 3, Census Tract 12, Allegany County, Maryland"
