"B11016_001E","B11016_001M","B11016_002E","B11016_002M","B11016_003E","B11016_003M","B11016_004E","B11016_004M","B11016_005E","B11016_005M","B11016_006E","B11016_006M","B11016_007E","B11016_007M","B11016_008E","B11016_008M","B11016_009E","B11016_009M","B11016_010E","B11016_010M","B11016_011E","B11016_011M","B11016_012E","B11016_012M","B11016_013E","B11016_013M","B11016_014E","B11016_014M","B11016_015E","B11016_015M","B11016_016E","B11016_016M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Family households","Margin of Error!!Total!!Family households","Estimate!!Total!!Family households!!2-person household","Margin of Error!!Total!!Family households!!2-person household","Estimate!!Total!!Family households!!3-person household","Margin of Error!!Total!!Family households!!3-person household","Estimate!!Total!!Family households!!4-person household","Margin of Error!!Total!!Family households!!4-person household","Estimate!!Total!!Family households!!5-person household","Margin of Error!!Total!!Family households!!5-person household","Estimate!!Total!!Family households!!6-person household","Margin of Error!!Total!!Family households!!6-person household","Estimate!!Total!!Family households!!7-or-more person household","Margin of Error!!Total!!Family households!!7-or-more person household","Estimate!!Total!!Nonfamily households","Margin of Error!!Total!!Nonfamily households","Estimate!!Total!!Nonfamily households!!1-person household","Margin of Error!!Total!!Nonfamily households!!1-person household","Estimate!!Total!!Nonfamily households!!2-person household","Margin of Error!!Total!!Nonfamily households!!2-person household","Estimate!!Total!!Nonfamily households!!3-person household","Margin of Error!!Total!!Nonfamily households!!3-person household","Estimate!!Total!!Nonfamily households!!4-person household","Margin of Error!!Total!!Nonfamily households!!4-person household","Estimate!!Total!!Nonfamily households!!5-person household","Margin of Error!!Total!!Nonfamily households!!5-person household","Estimate!!Total!!Nonfamily households!!6-person household","Margin of Error!!Total!!Nonfamily households!!6-person household","Estimate!!Total!!Nonfamily households!!7-or-more person household","Margin of Error!!Total!!Nonfamily households!!7-or-more person household","id","Geographic Area Name"
"291","67","189","64","124","48","34","33","31","39","0","12","0","12","0","12","102","56","102","56","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"771","95","532","81","295","67","97","55","92","52","28","39","20","26","0","12","239","90","205","81","34","39","0","12","0","12","0","12","0","12","0","12","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"439","88","333","85","140","64","78","52","93","59","0","12","11","17","11","16","106","52","106","52","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"372","76","290","69","184","65","49","37","42","31","0","12","15","21","0","12","82","42","72","38","10","16","0","12","0","12","0","12","0","12","0","12","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"341","59","203","53","108","40","65","38","18","21","12","20","0","12","0","12","138","49","130","48","8","13","0","12","0","12","0","12","0","12","0","12","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"476","80","359","98","163","62","78","44","83","81","35","39","0","12","0","12","117","59","88","51","29","28","0","12","0","12","0","12","0","12","0","12","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"682","79","464","89","216","74","121","65","114","50","0","12","13","20","0","12","218","70","201","68","9","14","8","13","0","12","0","12","0","12","0","12","1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland"
"277","75","228","75","99","53","68","49","46","46","15","24","0","12","0","12","49","34","49","34","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland"
"195","48","128","50","109","45","19","24","0","12","0","12","0","12","0","12","67","36","60","34","7","12","0","12","0","12","0","12","0","12","0","12","1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland"
"264","52","218","55","92","45","49","40","63","36","14","25","0","12","0","12","46","31","46","31","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland"
"601","104","371","104","147","64","44","29","112","72","48","28","20","27","0","12","230","72","202","70","28","26","0","12","0","12","0","12","0","12","0","12","1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland"
"276","56","164","48","87","39","37","35","20","24","20","24","0","12","0","12","112","49","100","45","12","19","0","12","0","12","0","12","0","12","0","12","1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland"
