"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_001MA","B25004_001EA","B25004_002E","B25004_002EA","B25004_002M","B25004_002MA","B25004_003E","B25004_003EA","B25004_003M","B25004_003MA","B25004_004E","B25004_004M","B25004_004MA","B25004_004EA","B25004_005E","B25004_005M","B25004_005MA","B25004_005EA","B25004_006E","B25004_006EA","B25004_006M","B25004_006MA","B25004_007E","B25004_007M","B25004_007MA","B25004_007EA","B25004_008E","B25004_008M","B25004_008MA","B25004_008EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!For rent","Annotation of Estimate!!Total!!For rent","Margin of Error!!Total!!For rent","Annotation of Margin of Error!!Total!!For rent","Estimate!!Total!!Rented, not occupied","Annotation of Estimate!!Total!!Rented, not occupied","Margin of Error!!Total!!Rented, not occupied","Annotation of Margin of Error!!Total!!Rented, not occupied","Estimate!!Total!!For sale only","Margin of Error!!Total!!For sale only","Annotation of Margin of Error!!Total!!For sale only","Annotation of Estimate!!Total!!For sale only","Estimate!!Total!!Sold, not occupied","Margin of Error!!Total!!Sold, not occupied","Annotation of Margin of Error!!Total!!Sold, not occupied","Annotation of Estimate!!Total!!Sold, not occupied","Estimate!!Total!!For seasonal, recreational, or occasional use","Annotation of Estimate!!Total!!For seasonal, recreational, or occasional use","Margin of Error!!Total!!For seasonal, recreational, or occasional use","Annotation of Margin of Error!!Total!!For seasonal, recreational, or occasional use","Estimate!!Total!!For migrant workers","Margin of Error!!Total!!For migrant workers","Annotation of Margin of Error!!Total!!For migrant workers","Annotation of Estimate!!Total!!For migrant workers","Estimate!!Total!!Other vacant","Margin of Error!!Total!!Other vacant","Annotation of Margin of Error!!Total!!Other vacant","Annotation of Estimate!!Total!!Other vacant",
"1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland","262","86","null","null","13","null","22","null","0","null","12","null","8","13","null","null","0","12","null","null","190","null","78","null","0","12","null","null","51","51","null","null",
"1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland","206","95","null","null","0","null","12","null","0","null","12","null","24","38","null","null","0","12","null","null","168","null","86","null","0","12","null","null","14","22","null","null",
"1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland","132","78","null","null","0","null","12","null","0","null","12","null","30","48","null","null","0","12","null","null","88","null","58","null","0","12","null","null","14","23","null","null",
"1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland","143","68","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","128","null","67","null","0","12","null","null","15","24","null","null",
"1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland","10","15","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","10","15","null","null",
"1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland","55","62","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","55","62","null","null",
"1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland","90","62","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","90","62","null","null",
"1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland","8","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","8","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland","70","52","null","null","47","null","37","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","23","37","null","null",
