"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_001MA","B25004_001EA","B25004_002E","B25004_002M","B25004_002MA","B25004_002EA","B25004_003E","B25004_003M","B25004_003MA","B25004_003EA","B25004_004E","B25004_004M","B25004_004MA","B25004_004EA","B25004_005E","B25004_005M","B25004_005MA","B25004_005EA","B25004_006E","B25004_006M","B25004_006MA","B25004_006EA","B25004_007E","B25004_007M","B25004_007MA","B25004_007EA","B25004_008E","B25004_008M","B25004_008MA","B25004_008EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!For rent","Margin of Error!!Total!!For rent","Annotation of Margin of Error!!Total!!For rent","Annotation of Estimate!!Total!!For rent","Estimate!!Total!!Rented, not occupied","Margin of Error!!Total!!Rented, not occupied","Annotation of Margin of Error!!Total!!Rented, not occupied","Annotation of Estimate!!Total!!Rented, not occupied","Estimate!!Total!!For sale only","Margin of Error!!Total!!For sale only","Annotation of Margin of Error!!Total!!For sale only","Annotation of Estimate!!Total!!For sale only","Estimate!!Total!!Sold, not occupied","Margin of Error!!Total!!Sold, not occupied","Annotation of Margin of Error!!Total!!Sold, not occupied","Annotation of Estimate!!Total!!Sold, not occupied","Estimate!!Total!!For seasonal, recreational, or occasional use","Margin of Error!!Total!!For seasonal, recreational, or occasional use","Annotation of Margin of Error!!Total!!For seasonal, recreational, or occasional use","Annotation of Estimate!!Total!!For seasonal, recreational, or occasional use","Estimate!!Total!!For migrant workers","Margin of Error!!Total!!For migrant workers","Annotation of Margin of Error!!Total!!For migrant workers","Annotation of Estimate!!Total!!For migrant workers","Estimate!!Total!!Other vacant","Margin of Error!!Total!!Other vacant","Annotation of Margin of Error!!Total!!Other vacant","Annotation of Estimate!!Total!!Other vacant",
"1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland","319","108","null","null","42","49","null","null","0","12","null","null","0","12","null","null","0","12","null","null","249","95","null","null","0","12","null","null","28","45","null","null",
"1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland","175","85","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","134","86","null","null","0","12","null","null","41","51","null","null",
"1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland","133","71","null","null","0","12","null","null","0","12","null","null","9","15","null","null","0","12","null","null","96","55","null","null","0","12","null","null","28","44","null","null",
"1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland","190","93","null","null","0","12","null","null","31","40","null","null","0","12","null","null","0","12","null","null","134","87","null","null","0","12","null","null","25","30","null","null",
"1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland","49","55","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","16","26","null","null","0","12","null","null","33","50","null","null",
"1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland","21","33","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","21","33","null","null",
"1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland","105","64","null","null","25","38","null","null","0","12","null","null","22","34","null","null","0","12","null","null","0","12","null","null","0","12","null","null","58","52","null","null",
"1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland","49","52","null","null","25","40","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","24","37","null","null",
"1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland","8","13","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","8","13","null","null",
"1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland","158","96","null","null","24","39","null","null","0","12","null","null","0","12","null","null","0","12","null","null","8","13","null","null","0","12","null","null","126","89","null","null",
"1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland","81","66","null","null","10","20","null","null","0","12","null","null","0","12","null","null","0","12","null","null","47","52","null","null","0","12","null","null","24","38","null","null",
"1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland","249","112","null","null","18","28","null","null","0","12","null","null","53","58","null","null","0","12","null","null","0","12","null","null","0","12","null","null","178","88","null","null",
"1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland","25","40","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","25","40","null","null",
"1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland","89","72","null","null","0","12","null","null","0","12","null","null","26","41","null","null","0","12","null","null","0","12","null","null","0","12","null","null","63","61","null","null",
"1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland","197","100","null","null","0","12","null","null","0","12","null","null","0","12","null","null","27","43","null","null","0","12","null","null","0","12","null","null","170","95","null","null",
"1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland","57","62","null","null","24","37","null","null","0","12","null","null","0","12","null","null","33","51","null","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland","177","102","null","null","51","45","null","null","0","12","null","null","30","43","null","null","0","12","null","null","0","12","null","null","0","12","null","null","96","86","null","null",
"1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland","74","44","null","null","0","12","null","null","0","12","null","null","16","24","null","null","0","12","null","null","0","12","null","null","0","12","null","null","58","39","null","null",
"1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland","182","61","null","null","30","34","null","null","15","24","null","null","30","34","null","null","0","12","null","null","0","12","null","null","0","12","null","null","107","56","null","null",
