"B25001_001E","B25001_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"446","89","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"926","116","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"585","106","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"513","76","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"362","60","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"566","81","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"737","79","1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland"
"283","74","1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland"
"237","58","1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland"
"287","54","1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland"
"854","93","1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland"
"297","60","1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland"
"945","101","1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland"
"421","95","1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland"
"1095","112","1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland"
"405","110","1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland"
"853","104","1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland"
"905","105","1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland"
"608","70","1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland"
"471","65","1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland"
"735","98","1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland"
"744","96","1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland"
"932","68","1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland"
"634","85","1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland"
"498","91","1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland"
"303","54","1500000US240010012003","Block Group 3, Census Tract 12, Allegany County, Maryland"
"616","72","1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland"
"358","54","1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland"
"351","59","1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland"
"794","78","1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland"
"712","89","1500000US240010014013","Block Group 3, Census Tract 14.01, Allegany County, Maryland"
"712","49","1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland"
"918","43","1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland"
"274","38","1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland"
"222","43","1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland"
"306","43","1500000US240010015033","Block Group 3, Census Tract 15.03, Allegany County, Maryland"
"796","56","1500000US240010016001","Block Group 1, Census Tract 16, Allegany County, Maryland"
"223","83","1500000US240010017001","Block Group 1, Census Tract 17, Allegany County, Maryland"
"658","148","1500000US240010017002","Block Group 2, Census Tract 17, Allegany County, Maryland"
"792","149","1500000US240010017003","Block Group 3, Census Tract 17, Allegany County, Maryland"
"733","180","1500000US240010017004","Block Group 4, Census Tract 17, Allegany County, Maryland"
"957","155","1500000US240010018001","Block Group 1, Census Tract 18, Allegany County, Maryland"
"470","93","1500000US240010018002","Block Group 2, Census Tract 18, Allegany County, Maryland"
"683","143","1500000US240010018003","Block Group 3, Census Tract 18, Allegany County, Maryland"
"608","89","1500000US240010019001","Block Group 1, Census Tract 19, Allegany County, Maryland"
"558","84","1500000US240010019002","Block Group 2, Census Tract 19, Allegany County, Maryland"
"685","93","1500000US240010020001","Block Group 1, Census Tract 20, Allegany County, Maryland"
"1182","129","1500000US240010020002","Block Group 2, Census Tract 20, Allegany County, Maryland"
"576","103","1500000US240010020003","Block Group 3, Census Tract 20, Allegany County, Maryland"
"952","76","1500000US240010021001","Block Group 1, Census Tract 21, Allegany County, Maryland"
"639","82","1500000US240010021002","Block Group 2, Census Tract 21, Allegany County, Maryland"
"469","77","1500000US240010022001","Block Group 1, Census Tract 22, Allegany County, Maryland"
"681","84","1500000US240010022002","Block Group 2, Census Tract 22, Allegany County, Maryland"
"719","84","1500000US240010022003","Block Group 3, Census Tract 22, Allegany County, Maryland"
"387","59","1500000US240037011011","Block Group 1, Census Tract 7011.01, Anne Arundel County, Maryland"
"382","73","1500000US240037011012","Block Group 2, Census Tract 7011.01, Anne Arundel County, Maryland"
"301","48","1500000US240037011013","Block Group 3, Census Tract 7011.01, Anne Arundel County, Maryland"
"560","76","1500000US240037011014","Block Group 4, Census Tract 7011.01, Anne Arundel County, Maryland"
"1210","157","1500000US240037011021","Block Group 1, Census Tract 7011.02, Anne Arundel County, Maryland"
"355","78","1500000US240037011022","Block Group 2, Census Tract 7011.02, Anne Arundel County, Maryland"
"681","144","1500000US240037011023","Block Group 3, Census Tract 7011.02, Anne Arundel County, Maryland"
"961","156","1500000US240037011024","Block Group 4, Census Tract 7011.02, Anne Arundel County, Maryland"
"974","116","1500000US240037012001","Block Group 1, Census Tract 7012, Anne Arundel County, Maryland"
"679","138","1500000US240037012002","Block Group 2, Census Tract 7012, Anne Arundel County, Maryland"
"759","139","1500000US240037012003","Block Group 3, Census Tract 7012, Anne Arundel County, Maryland"
"1030","150","1500000US240037012004","Block Group 4, Census Tract 7012, Anne Arundel County, Maryland"
"621","92","1500000US240037013001","Block Group 1, Census Tract 7013, Anne Arundel County, Maryland"
"835","94","1500000US240037013002","Block Group 2, Census Tract 7013, Anne Arundel County, Maryland"
"460","109","1500000US240037013003","Block Group 3, Census Tract 7013, Anne Arundel County, Maryland"
"784","124","1500000US240037013004","Block Group 4, Census Tract 7013, Anne Arundel County, Maryland"
"507","81","1500000US240037014001","Block Group 1, Census Tract 7014, Anne Arundel County, Maryland"
"807","73","1500000US240037014002","Block Group 2, Census Tract 7014, Anne Arundel County, Maryland"
"1126","151","1500000US240037021001","Block Group 1, Census Tract 7021, Anne Arundel County, Maryland"
"332","81","1500000US240037021002","Block Group 2, Census Tract 7021, Anne Arundel County, Maryland"
"643","102","1500000US240037021003","Block Group 3, Census Tract 7021, Anne Arundel County, Maryland"
"471","89","1500000US240037021004","Block Group 4, Census Tract 7021, Anne Arundel County, Maryland"
"280","69","1500000US240037021005","Block Group 5, Census Tract 7021, Anne Arundel County, Maryland"
"788","66","1500000US240037022041","Block Group 1, Census Tract 7022.04, Anne Arundel County, Maryland"
"784","62","1500000US240037022042","Block Group 2, Census Tract 7022.04, Anne Arundel County, Maryland"
"787","105","1500000US240037022051","Block Group 1, Census Tract 7022.05, Anne Arundel County, Maryland"
"1166","137","1500000US240037022052","Block Group 2, Census Tract 7022.05, Anne Arundel County, Maryland"
"461","89","1500000US240037022053","Block Group 3, Census Tract 7022.05, Anne Arundel County, Maryland"
"890","151","1500000US240037022061","Block Group 1, Census Tract 7022.06, Anne Arundel County, Maryland"
"740","116","1500000US240037022062","Block Group 2, Census Tract 7022.06, Anne Arundel County, Maryland"
"797","134","1500000US240037022063","Block Group 3, Census Tract 7022.06, Anne Arundel County, Maryland"
"1829","152","1500000US240037022081","Block Group 1, Census Tract 7022.08, Anne Arundel County, Maryland"
"862","135","1500000US240037022082","Block Group 2, Census Tract 7022.08, Anne Arundel County, Maryland"
"449","81","1500000US240037022091","Block Group 1, Census Tract 7022.09, Anne Arundel County, Maryland"
"403","85","1500000US240037022092","Block Group 2, Census Tract 7022.09, Anne Arundel County, Maryland"
"648","79","1500000US240037022093","Block Group 3, Census Tract 7022.09, Anne Arundel County, Maryland"
"259","50","1500000US240037023001","Block Group 1, Census Tract 7023, Anne Arundel County, Maryland"
"649","64","1500000US240037023002","Block Group 2, Census Tract 7023, Anne Arundel County, Maryland"
"505","64","1500000US240037023003","Block Group 3, Census Tract 7023, Anne Arundel County, Maryland"
"556","70","1500000US240037023004","Block Group 4, Census Tract 7023, Anne Arundel County, Maryland"
"1119","150","1500000US240037024021","Block Group 1, Census Tract 7024.02, Anne Arundel County, Maryland"
"1534","166","1500000US240037024022","Block Group 2, Census Tract 7024.02, Anne Arundel County, Maryland"
"889","117","1500000US240037024023","Block Group 3, Census Tract 7024.02, Anne Arundel County, Maryland"
"464","125","1500000US240037025001","Block Group 1, Census Tract 7025, Anne Arundel County, Maryland"
"494","153","1500000US240037025002","Block Group 2, Census Tract 7025, Anne Arundel County, Maryland"
"955","156","1500000US240037025003","Block Group 3, Census Tract 7025, Anne Arundel County, Maryland"
"420","130","1500000US240037025004","Block Group 4, Census Tract 7025, Anne Arundel County, Maryland"
"258","65","1500000US240037026011","Block Group 1, Census Tract 7026.01, Anne Arundel County, Maryland"
"689","112","1500000US240037026012","Block Group 2, Census Tract 7026.01, Anne Arundel County, Maryland"
"304","52","1500000US240037026013","Block Group 3, Census Tract 7026.01, Anne Arundel County, Maryland"
"410","72","1500000US240037026014","Block Group 4, Census Tract 7026.01, Anne Arundel County, Maryland"
"573","82","1500000US240037026015","Block Group 5, Census Tract 7026.01, Anne Arundel County, Maryland"
"1216","135","1500000US240037026021","Block Group 1, Census Tract 7026.02, Anne Arundel County, Maryland"
"1117","150","1500000US240037026022","Block Group 2, Census Tract 7026.02, Anne Arundel County, Maryland"
"332","88","1500000US240037026023","Block Group 3, Census Tract 7026.02, Anne Arundel County, Maryland"
"560","128","1500000US240037027011","Block Group 1, Census Tract 7027.01, Anne Arundel County, Maryland"
"569","129","1500000US240037027012","Block Group 2, Census Tract 7027.01, Anne Arundel County, Maryland"
"1211","159","1500000US240037027013","Block Group 3, Census Tract 7027.01, Anne Arundel County, Maryland"
"706","103","1500000US240037027021","Block Group 1, Census Tract 7027.02, Anne Arundel County, Maryland"
"1016","105","1500000US240037027022","Block Group 2, Census Tract 7027.02, Anne Arundel County, Maryland"
"916","123","1500000US240037061011","Block Group 1, Census Tract 7061.01, Anne Arundel County, Maryland"
"756","84","1500000US240037061012","Block Group 2, Census Tract 7061.01, Anne Arundel County, Maryland"
"395","105","1500000US240037061013","Block Group 3, Census Tract 7061.01, Anne Arundel County, Maryland"
"906","170","1500000US240037063011","Block Group 1, Census Tract 7063.01, Anne Arundel County, Maryland"
"1104","165","1500000US240037063012","Block Group 2, Census Tract 7063.01, Anne Arundel County, Maryland"
"622","110","1500000US240037063013","Block Group 3, Census Tract 7063.01, Anne Arundel County, Maryland"
"890","127","1500000US240037063021","Block Group 1, Census Tract 7063.02, Anne Arundel County, Maryland"
"367","92","1500000US240037063022","Block Group 2, Census Tract 7063.02, Anne Arundel County, Maryland"
"717","127","1500000US240037063023","Block Group 3, Census Tract 7063.02, Anne Arundel County, Maryland"
"982","180","1500000US240037064011","Block Group 1, Census Tract 7064.01, Anne Arundel County, Maryland"
"994","246","1500000US240037064012","Block Group 2, Census Tract 7064.01, Anne Arundel County, Maryland"
"489","162","1500000US240037064013","Block Group 3, Census Tract 7064.01, Anne Arundel County, Maryland"
"652","89","1500000US240037064021","Block Group 1, Census Tract 7064.02, Anne Arundel County, Maryland"
"1012","89","1500000US240037064022","Block Group 2, Census Tract 7064.02, Anne Arundel County, Maryland"
"632","178","1500000US240037065001","Block Group 1, Census Tract 7065, Anne Arundel County, Maryland"
"298","103","1500000US240037065002","Block Group 2, Census Tract 7065, Anne Arundel County, Maryland"
"769","154","1500000US240037065003","Block Group 3, Census Tract 7065, Anne Arundel County, Maryland"
"893","139","1500000US240037065004","Block Group 4, Census Tract 7065, Anne Arundel County, Maryland"
"279","78","1500000US240037066001","Block Group 1, Census Tract 7066, Anne Arundel County, Maryland"
"775","95","1500000US240037066002","Block Group 2, Census Tract 7066, Anne Arundel County, Maryland"
"307","83","1500000US240037066003","Block Group 3, Census Tract 7066, Anne Arundel County, Maryland"
"476","110","1500000US240037066004","Block Group 4, Census Tract 7066, Anne Arundel County, Maryland"
"351","91","1500000US240037066005","Block Group 5, Census Tract 7066, Anne Arundel County, Maryland"
"246","95","1500000US240037067001","Block Group 1, Census Tract 7067, Anne Arundel County, Maryland"
"856","133","1500000US240037070011","Block Group 1, Census Tract 7070.01, Anne Arundel County, Maryland"
"964","120","1500000US240037070012","Block Group 2, Census Tract 7070.01, Anne Arundel County, Maryland"
"869","145","1500000US240037070013","Block Group 3, Census Tract 7070.01, Anne Arundel County, Maryland"
"678","83","1500000US240037070021","Block Group 1, Census Tract 7070.02, Anne Arundel County, Maryland"
"446","53","1500000US240037070022","Block Group 2, Census Tract 7070.02, Anne Arundel County, Maryland"
"898","86","1500000US240037070023","Block Group 3, Census Tract 7070.02, Anne Arundel County, Maryland"
"1244","84","1500000US240037080011","Block Group 1, Census Tract 7080.01, Anne Arundel County, Maryland"
"480","78","1500000US240037080012","Block Group 2, Census Tract 7080.01, Anne Arundel County, Maryland"
"485","124","1500000US240037080041","Block Group 1, Census Tract 7080.04, Anne Arundel County, Maryland"
"1049","158","1500000US240037080042","Block Group 2, Census Tract 7080.04, Anne Arundel County, Maryland"
"798","163","1500000US240037080043","Block Group 3, Census Tract 7080.04, Anne Arundel County, Maryland"
"1042","133","1500000US240037301001","Block Group 1, Census Tract 7301, Anne Arundel County, Maryland"
"855","148","1500000US240037301002","Block Group 2, Census Tract 7301, Anne Arundel County, Maryland"
"1382","177","1500000US240037301003","Block Group 3, Census Tract 7301, Anne Arundel County, Maryland"
"686","130","1500000US240037302031","Block Group 1, Census Tract 7302.03, Anne Arundel County, Maryland"
"594","150","1500000US240037302032","Block Group 2, Census Tract 7302.03, Anne Arundel County, Maryland"
"510","155","1500000US240037302033","Block Group 3, Census Tract 7302.03, Anne Arundel County, Maryland"
"903","185","1500000US240037302034","Block Group 4, Census Tract 7302.03, Anne Arundel County, Maryland"
"800","111","1500000US240037302041","Block Group 1, Census Tract 7302.04, Anne Arundel County, Maryland"
"803","127","1500000US240037302042","Block Group 2, Census Tract 7302.04, Anne Arundel County, Maryland"
"550","126","1500000US240037302043","Block Group 3, Census Tract 7302.04, Anne Arundel County, Maryland"
"719","72","1500000US240037303001","Block Group 1, Census Tract 7303, Anne Arundel County, Maryland"
"516","71","1500000US240037303002","Block Group 2, Census Tract 7303, Anne Arundel County, Maryland"
"1087","92","1500000US240037304011","Block Group 1, Census Tract 7304.01, Anne Arundel County, Maryland"
"749","87","1500000US240037304012","Block Group 2, Census Tract 7304.01, Anne Arundel County, Maryland"
"1266","201","1500000US240037304021","Block Group 1, Census Tract 7304.02, Anne Arundel County, Maryland"
"747","125","1500000US240037304022","Block Group 2, Census Tract 7304.02, Anne Arundel County, Maryland"
"680","158","1500000US240037304023","Block Group 3, Census Tract 7304.02, Anne Arundel County, Maryland"
"571","100","1500000US240037305021","Block Group 1, Census Tract 7305.02, Anne Arundel County, Maryland"
"1109","132","1500000US240037305022","Block Group 2, Census Tract 7305.02, Anne Arundel County, Maryland"
"858","129","1500000US240037305023","Block Group 3, Census Tract 7305.02, Anne Arundel County, Maryland"
"1085","176","1500000US240037305041","Block Group 1, Census Tract 7305.04, Anne Arundel County, Maryland"
