"B19301_001E","B19301_001M","GEO_ID","NAME"
"Estimate!!Per capita income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2019 inflation-adjusted dollars)","id","Geographic Area Name"
"27143","4953","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"24293","5301","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"27910","4879","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"45906","29570","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"27591","3818","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"14112","3107","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"23375","5539","1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland"
"19993","5150","1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland"
"27303","5846","1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland"
"29835","4844","1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland"
"25299","4028","1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland"
"19508","6379","1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland"
"19896","3732","1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland"
"14212","3542","1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland"
"23915","2844","1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland"
"16298","3409","1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland"
"18099","3257","1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland"
"18384","3869","1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland"
"22691","4251","1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland"
"13341","2651","1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland"
"23281","4802","1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland"
"25392","12002","1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland"
"30531","6124","1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland"
"41074","11120","1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland"
"24703","7405","1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland"
"50600","15152","1500000US240010012003","Block Group 3, Census Tract 12, Allegany County, Maryland"
"28903","4018","1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland"
"5980","1014","1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland"
"45878","12714","1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland"
"39388","5065","1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland"
"36618","11137","1500000US240010014013","Block Group 3, Census Tract 14.01, Allegany County, Maryland"
"33045","3416","1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland"
"23247","3153","1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland"
"30203","12129","1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland"
"25299","5558","1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland"
"22476","3874","1500000US240010015033","Block Group 3, Census Tract 15.03, Allegany County, Maryland"
"27727","3057","1500000US240010016001","Block Group 1, Census Tract 16, Allegany County, Maryland"
"27113","12623","1500000US240010017001","Block Group 1, Census Tract 17, Allegany County, Maryland"
"23741","6286","1500000US240010017002","Block Group 2, Census Tract 17, Allegany County, Maryland"
"30541","4300","1500000US240010017003","Block Group 3, Census Tract 17, Allegany County, Maryland"
"16762","3218","1500000US240010017004","Block Group 4, Census Tract 17, Allegany County, Maryland"
"20559","3848","1500000US240010018001","Block Group 1, Census Tract 18, Allegany County, Maryland"
"25152","5704","1500000US240010018002","Block Group 2, Census Tract 18, Allegany County, Maryland"
"8283","1892","1500000US240010018003","Block Group 3, Census Tract 18, Allegany County, Maryland"
"28223","3909","1500000US240010019001","Block Group 1, Census Tract 19, Allegany County, Maryland"
"23473","3030","1500000US240010019002","Block Group 2, Census Tract 19, Allegany County, Maryland"
"20074","3349","1500000US240010020001","Block Group 1, Census Tract 20, Allegany County, Maryland"
"25118","4214","1500000US240010020002","Block Group 2, Census Tract 20, Allegany County, Maryland"
"26576","5529","1500000US240010020003","Block Group 3, Census Tract 20, Allegany County, Maryland"
"23255","2861","1500000US240010021001","Block Group 1, Census Tract 21, Allegany County, Maryland"
"22729","3103","1500000US240010021002","Block Group 2, Census Tract 21, Allegany County, Maryland"
"23110","3901","1500000US240010022001","Block Group 1, Census Tract 22, Allegany County, Maryland"
"15780","3217","1500000US240010022002","Block Group 2, Census Tract 22, Allegany County, Maryland"
"24230","3076","1500000US240010022003","Block Group 3, Census Tract 22, Allegany County, Maryland"
"53651","11093","1500000US240037011011","Block Group 1, Census Tract 7011.01, Anne Arundel County, Maryland"
"47140","7661","1500000US240037011012","Block Group 2, Census Tract 7011.01, Anne Arundel County, Maryland"
"47253","7533","1500000US240037011013","Block Group 3, Census Tract 7011.01, Anne Arundel County, Maryland"
"65100","11955","1500000US240037011014","Block Group 4, Census Tract 7011.01, Anne Arundel County, Maryland"
"54968","7589","1500000US240037011021","Block Group 1, Census Tract 7011.02, Anne Arundel County, Maryland"
"57716","18635","1500000US240037011022","Block Group 2, Census Tract 7011.02, Anne Arundel County, Maryland"
"33231","8337","1500000US240037011023","Block Group 3, Census Tract 7011.02, Anne Arundel County, Maryland"
"37889","6267","1500000US240037011024","Block Group 4, Census Tract 7011.02, Anne Arundel County, Maryland"
"49635","8773","1500000US240037012001","Block Group 1, Census Tract 7012, Anne Arundel County, Maryland"
"75452","15347","1500000US240037012002","Block Group 2, Census Tract 7012, Anne Arundel County, Maryland"
"46201","6456","1500000US240037012003","Block Group 3, Census Tract 7012, Anne Arundel County, Maryland"
"57561","13498","1500000US240037012004","Block Group 4, Census Tract 7012, Anne Arundel County, Maryland"
"58723","20032","1500000US240037013001","Block Group 1, Census Tract 7013, Anne Arundel County, Maryland"
"74841","17477","1500000US240037013002","Block Group 2, Census Tract 7013, Anne Arundel County, Maryland"
"47883","11479","1500000US240037013003","Block Group 3, Census Tract 7013, Anne Arundel County, Maryland"
"49579","10261","1500000US240037013004","Block Group 4, Census Tract 7013, Anne Arundel County, Maryland"
"43474","12401","1500000US240037014001","Block Group 1, Census Tract 7014, Anne Arundel County, Maryland"
"62786","8864","1500000US240037014002","Block Group 2, Census Tract 7014, Anne Arundel County, Maryland"
"57699","15913","1500000US240037021001","Block Group 1, Census Tract 7021, Anne Arundel County, Maryland"
"81521","21511","1500000US240037021002","Block Group 2, Census Tract 7021, Anne Arundel County, Maryland"
"86945","31430","1500000US240037021003","Block Group 3, Census Tract 7021, Anne Arundel County, Maryland"
"57032","9385","1500000US240037021004","Block Group 4, Census Tract 7021, Anne Arundel County, Maryland"
"66970","43403","1500000US240037021005","Block Group 5, Census Tract 7021, Anne Arundel County, Maryland"
"69491","9855","1500000US240037022041","Block Group 1, Census Tract 7022.04, Anne Arundel County, Maryland"
"49528","8107","1500000US240037022042","Block Group 2, Census Tract 7022.04, Anne Arundel County, Maryland"
"61571","7901","1500000US240037022051","Block Group 1, Census Tract 7022.05, Anne Arundel County, Maryland"
"52671","9165","1500000US240037022052","Block Group 2, Census Tract 7022.05, Anne Arundel County, Maryland"
"53775","15318","1500000US240037022053","Block Group 3, Census Tract 7022.05, Anne Arundel County, Maryland"
"39722","6089","1500000US240037022061","Block Group 1, Census Tract 7022.06, Anne Arundel County, Maryland"
"40858","5360","1500000US240037022062","Block Group 2, Census Tract 7022.06, Anne Arundel County, Maryland"
"53246","6761","1500000US240037022063","Block Group 3, Census Tract 7022.06, Anne Arundel County, Maryland"
"49257","6444","1500000US240037022081","Block Group 1, Census Tract 7022.08, Anne Arundel County, Maryland"
"56084","7545","1500000US240037022082","Block Group 2, Census Tract 7022.08, Anne Arundel County, Maryland"
