"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"563","255","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"1726","271","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"1231","241","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"792","199","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"1013","172","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"2271","301","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"1363","251","1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland"
"588","252","1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland"
"671","187","1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland"
"542","133","1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland"
"1354","309","1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland"
"886","289","1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland"
"1398","193","1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland"
"926","226","1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland"
"2128","330","1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland"
"661","189","1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland"
"1590","259","1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland"
"2065","348","1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland"
"1062","190","1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland"
"1170","239","1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland"
"1452","306","1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland"
"1028","242","1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland"
"1266","193","1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland"
"1644","260","1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland"
"804","275","1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland"
"647","191","1500000US240010012003","Block Group 3, Census Tract 12, Allegany County, Maryland"
"1198","164","1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland"
"3998","282","1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland"
"892","206","1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland"
"1791","281","1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland"
"1119","231","1500000US240010014013","Block Group 3, Census Tract 14.01, Allegany County, Maryland"
"1517","113","1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland"
"1902","262","1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland"
"529","111","1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland"
"643","168","1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland"
"710","172","1500000US240010015033","Block Group 3, Census Tract 15.03, Allegany County, Maryland"
"1706","153","1500000US240010016001","Block Group 1, Census Tract 16, Allegany County, Maryland"
"660","243","1500000US240010017001","Block Group 1, Census Tract 17, Allegany County, Maryland"
"966","282","1500000US240010017002","Block Group 2, Census Tract 17, Allegany County, Maryland"
"1662","357","1500000US240010017003","Block Group 3, Census Tract 17, Allegany County, Maryland"
"2076","387","1500000US240010017004","Block Group 4, Census Tract 17, Allegany County, Maryland"
"1918","291","1500000US240010018001","Block Group 1, Census Tract 18, Allegany County, Maryland"
"781","237","1500000US240010018002","Block Group 2, Census Tract 18, Allegany County, Maryland"
"1951","267","1500000US240010018003","Block Group 3, Census Tract 18, Allegany County, Maryland"
"1488","234","1500000US240010019001","Block Group 1, Census Tract 19, Allegany County, Maryland"
"1396","193","1500000US240010019002","Block Group 2, Census Tract 19, Allegany County, Maryland"
"1676","422","1500000US240010020001","Block Group 1, Census Tract 20, Allegany County, Maryland"
"2874","508","1500000US240010020002","Block Group 2, Census Tract 20, Allegany County, Maryland"
"1242","306","1500000US240010020003","Block Group 3, Census Tract 20, Allegany County, Maryland"
"2134","333","1500000US240010021001","Block Group 1, Census Tract 21, Allegany County, Maryland"
"1049","173","1500000US240010021002","Block Group 2, Census Tract 21, Allegany County, Maryland"
"1148","311","1500000US240010022001","Block Group 1, Census Tract 22, Allegany County, Maryland"
"1524","297","1500000US240010022002","Block Group 2, Census Tract 22, Allegany County, Maryland"
"1200","220","1500000US240010022003","Block Group 3, Census Tract 22, Allegany County, Maryland"
"873","164","1500000US240037011011","Block Group 1, Census Tract 7011.01, Anne Arundel County, Maryland"
"829","193","1500000US240037011012","Block Group 2, Census Tract 7011.01, Anne Arundel County, Maryland"
"787","182","1500000US240037011013","Block Group 3, Census Tract 7011.01, Anne Arundel County, Maryland"
"1570","255","1500000US240037011014","Block Group 4, Census Tract 7011.01, Anne Arundel County, Maryland"
"3128","547","1500000US240037011021","Block Group 1, Census Tract 7011.02, Anne Arundel County, Maryland"
"966","278","1500000US240037011022","Block Group 2, Census Tract 7011.02, Anne Arundel County, Maryland"
"2148","496","1500000US240037011023","Block Group 3, Census Tract 7011.02, Anne Arundel County, Maryland"
"2054","497","1500000US240037011024","Block Group 4, Census Tract 7011.02, Anne Arundel County, Maryland"
"2448","483","1500000US240037012001","Block Group 1, Census Tract 7012, Anne Arundel County, Maryland"
"1454","341","1500000US240037012002","Block Group 2, Census Tract 7012, Anne Arundel County, Maryland"
"1907","422","1500000US240037012003","Block Group 3, Census Tract 7012, Anne Arundel County, Maryland"
"2847","674","1500000US240037012004","Block Group 4, Census Tract 7012, Anne Arundel County, Maryland"
"1816","471","1500000US240037013001","Block Group 1, Census Tract 7013, Anne Arundel County, Maryland"
"2009","358","1500000US240037013002","Block Group 2, Census Tract 7013, Anne Arundel County, Maryland"
"1193","389","1500000US240037013003","Block Group 3, Census Tract 7013, Anne Arundel County, Maryland"
"2772","591","1500000US240037013004","Block Group 4, Census Tract 7013, Anne Arundel County, Maryland"
"825","163","1500000US240037014001","Block Group 1, Census Tract 7014, Anne Arundel County, Maryland"
"2690","249","1500000US240037014002","Block Group 2, Census Tract 7014, Anne Arundel County, Maryland"
"3173","405","1500000US240037021001","Block Group 1, Census Tract 7021, Anne Arundel County, Maryland"
"809","247","1500000US240037021002","Block Group 2, Census Tract 7021, Anne Arundel County, Maryland"
"1370","341","1500000US240037021003","Block Group 3, Census Tract 7021, Anne Arundel County, Maryland"
"1199","275","1500000US240037021004","Block Group 4, Census Tract 7021, Anne Arundel County, Maryland"
"597","234","1500000US240037021005","Block Group 5, Census Tract 7021, Anne Arundel County, Maryland"
"2332","235","1500000US240037022041","Block Group 1, Census Tract 7022.04, Anne Arundel County, Maryland"
"1904","238","1500000US240037022042","Block Group 2, Census Tract 7022.04, Anne Arundel County, Maryland"
"2006","367","1500000US240037022051","Block Group 1, Census Tract 7022.05, Anne Arundel County, Maryland"
"2269","353","1500000US240037022052","Block Group 2, Census Tract 7022.05, Anne Arundel County, Maryland"
"1471","380","1500000US240037022053","Block Group 3, Census Tract 7022.05, Anne Arundel County, Maryland"
